,app,review,rating,tokenized_review,replaced_review
2233,7분 운동,굿,5,,
2234,7분 운동,우선 해보는중,5,,
2235,7분 운동,좋아요,5,,
2236,7분 운동,혼자서도 꾸준히 할수있는 아주 유용한 도구. 맨손 운동의 달인이 될 수 있을듯.,5,도구 운동 달인,도구 운동 달인
2237,7분 운동,짧운과정 성취감을 통한 지속 운동 가능케 함,5,과정 성취감 지속 운동 가능,과정 성취감 지속 운동 가능
2238,7분 운동,장소에 크게 영향받지않고 짧은 시간안에 할수있다 정말 좋습니다,5,장소 영향,장소 영향
2239,7분 운동,좋음,5,,
2240,7분 운동,7분 운동이라서 그런지 게으른 사람도 꾸준히 할수있습니다. 깔끔하고 좋은 어플입니다. 다만 운동 동작을 자세히 안알려주기 때문에 유튜브로 동작을 하나 하나 배우고 해야한다는것이 좀 번거롭지만 무료 어플치고는 매우 좋은편입니다.,5,운동 운동 동작 유튜브 동작 무료,운동 운동 동작 유튜브 동작 무료
2242,7분 운동,너무 좋아요~!!!,5,,
2243,7분 운동,최고임. 간단하지만 꾸준히 운동할 수 있도록 도와줌,5,최고 운동,최고 운동
2244,7분 운동,진짜 사람이 실감나게 표현 해주면 좋겠습니다,5,실감 표현,실감 표현
2245,7분 운동,운동하기 싫어도 7분만 해야지 하고 가볍게 심박운동 하기도 좋고 3가지 종류를 연달아 하묜 크로스핏 운동한 느낌으로 땀 뻘뻘~~좋아요,5,운동 운동 종류 크로스 운동,운동 운동 종류 크로스 운동
2246,7분 운동,♥♥♥괜찮아요~,5,,
2247,7분 운동,체계적이고 간단한 운동들을 이렇게 할 수 있는게 좋아요. 잘 제작된 앱이네요. 강력추천합니다^^,4,체계 운동 제작 강력 추천,체계 운동 제작 강력 추천
2248,7분 운동,45kg이였는데 39kg됐네요!! 키는 더컷어요,5,,
2249,7분 운동,완벽,5,완벽,완벽
2250,7분 운동,Very nice app for Daily work out!,4,,
2251,7분 운동,좋네요 간단하지만 쉽지는않음,5,,
2252,7분 운동,꾸준히 할 수 있게끔 만들어진것 같아요,5,,
2253,7분 운동,너무좋아요!!8분했는데 땀이막 나네요..운동도 따라하기쉬운데 다리에 자극와서좋아요,5,운동 자극,운동 자극
2254,7분 운동,다이어트 첫걸음에 딱인것같아요!,5,다이어트 걸음,다이어트 걸음
2255,7분 운동,굳,5,,
2256,7분 운동,매우 유용합니다,5,유용,유용
2257,7분 운동,Very good app,5,,
2258,7분 운동,집에서 혼자하기 좋아요,5,,
2259,7분 운동,복부 크런치에 영상 두개가 달라서 어느게 맞는건지 모르겠네요.그것빼면 다 좋습니다.,3,크런치 영상,크런치 영상
2260,7분 운동,"약간의 아쉬움이 남는게 운동 부위가 더 있었으면 좋겠네요,그리고 어떤운동인지 미리보기도 있었으면 좋겠어요 처음하는사람은 어버버 되더군요ㅎ",4,아쉬움 운동 운동,아쉬움 운동 운동
2261,7분 운동,그저감사할따름 ㅋㅋ,5,감사 따름,감사 따름
2262,7분 운동,"잘쓰고있습니다 그리고 운동하다가보니 엉덩이운동 맨마지막단계사진이 잘못되었습니다~전단계하고 눕고싶긴했는데 ㅎㅎ 운동 이름하고 
그림이안맞더라구요",5,운동 엉덩이 운동 단계 사진 단계 운동 이름 그림,운동 엉덩이 운동 단계 사진 단계 운동 이름 그림
2263,7분 운동,초등학생 성장기 어린아이가 사용해도 되는 앱인가요?,5,초등학생 성장기 어린아이,초등학생 성장기 어린아이
2264,7분 운동,"4일째 하고 있는데, 짧은 시간에 어렵지도 않으면서 운동은 많이 되요. 코치가 호르라기 불어주는것 같아요. 좋아요~",5,운동 코치 호르라기,운동 코치 호르라기
2265,7분 운동,"앱 자체가 심플하면서 디테일까지 다 갖추고 있고 체계적이라서 운동결심에 아주 결단을 내줌. 거기에 광고조차 깔끔하고 자연스럽게 앱 
디자인에 원래 있던것처럼 있어서 사용에 불편함 없고 쾌적해서 마음에 쏙 드는 것 때문에 리뷰까지 쓴다! 만족만족만족",5,심플 디테일 체계 운동 결심 결단 광고 자연 디자인 불편 마음 리뷰 만족 만족 만족,심플 디테일 체계 운동 결심 결단 광고 자연 디자인 불편 마음 리뷰 만족 만족 만족
2266,7분 운동,대~애박!!! 저 이거 3달동안 열심히 해서 복근 생김 개꿀~,5,애박 복근 생김 개꿀,애박 복근 생김 개꿀
2267,7분 운동,집에서 하기에 완전 좋음,5,,
2268,7분 운동,혼자서 열심히 하면 정말 최고 입니다,5,최고,최고
2269,7분 운동,"초보자에게 이 앱의 단점은 14가지 운동 외우기, 영어 동영상 설명.",4,초보 단점 운동 영어 동영상 설명,초보 단점 운동 영어 동영상 설명
2270,7분 운동,하루 10분 투자로 건강할 수 있다니 개꿀,5,투자 건강 개꿀,투자 건강 개꿀
2271,7분 운동,다좋은대삼성운동하고연동할수있으면좋을꺼같아요ㅠㅠ구굴을잘안써서....,4,대삼 운동 연동 구굴,대삼 운동 연동 구굴
2272,7분 운동,굳good,5,,
2273,7분 운동,3일째인데 넘 좋아요 의지만 가지고 모두 함께 고고!!!,5,의지 고고,의지 고고
2274,7분 운동,아주좋아요,5,,
2275,7분 운동,집에서 혼자 홈트할때 아주좋습니다,5,,
2276,7분 운동,이 정도면... 불만 없음,5,,
2277,7분 운동,혼자 운동하는 것보다 확실히 효과적이네요. 감사합니다.,5,운동 감사,운동 감사
2278,7분 운동,매일하고 잇어요 효과도 좋아요!,5,,
2279,7분 운동,그냥 무슨 리뷰가 필요하냐 광고는 제작자도 먹고 살아야 하니 당연한거고 앱 잘 만들었다 제작자에게 감사한다,5,리뷰 필요 광고 감사,리뷰 필요 광고 감사
2280,7분 운동,7분운동 하니깐 몸이 개운해져서 좋아요!!!,5,운동,운동
2281,7분 운동,너무좋아요,5,,
2282,7분 운동,굿,4,,
2283,7분 운동,굿,5,,
2284,7분 운동,좋아요~,5,,
2285,7분 운동,시간도 알려주고운동방법도 간단하게 나와있어서 좋아요,5,운동 방법,운동 방법
2286,7분 운동,힘든데 7분으로 짧게 끝나서 계속하게됩니다.,5,,
2287,7분 운동,아주 좋네요^^ 제가 원하던게 다 있네요.덕분에 운동도 잘 하고^^,5,운동,운동
2288,7분 운동,좋아요,5,,
2289,7분 운동,이틀했는데 허벅지에 살이좀 빠진듯 굿,5,,
2290,7분 운동,좋습니다 운동 열심히 따라 하고 있어요,5,운동,운동
2291,7분 운동,아주좋아요. 알람설정이 기간을 24시간 다 되면 더 좋을거같아요^^,5,알람 설정 기간,알람 설정 기간
2292,7분 운동,이거 간단히 매일 부담없이 할 수 있어서 좋아요^^완전 최고!!!,5,최고,최고
2293,7분 운동,좋다.,4,,
2294,7분 운동,운동 짱,5,운동,운동
2295,7분 운동,10초 쉬고 하는게 짧아서 일시정지하고 쉬는데 그래도 운동엔 지장이 없나요 그래도 유용하게 사용중이에요👍👍👍👍👍👍👍,5,시정지 운동 지장 유용,시정지 운동 지장 유용
2296,7분 운동,좋아요,5,,
2297,7분 운동,최근에 체력이 많이 떨어져서 시작하게 됬는데 정말 좋습니다 👍👍,5,체력 시작,체력 시작
2298,7분 운동,따라하기 쉽고 매일매일하기좋네요.,5,,
2299,7분 운동,"맨몸 운동 앱으로 진짜 좋네요. 운동은 진짜 작심삼일이라서 안 했었는데 이상하게 이 앱은 운동하고 싶어지네요. 말이 7분이지 짧은 건 4분 정도 걸립니다. 바쁜 현대인에게 이 정도도 충분한 운동이에요. 제가 만성적인 목, 허리 디스크 있는데 이거 한 후로 일상에서 통증은 전혀 없네요. 몸에 근육도 붙는 듯. 단계적으로 운동량이 늘어나서 RPG 게임처럼 강도가 높아질수록 목표의식도 생기네요.",5,운동 운동 운동 현대인 운동 만성 허리 디스크 일상 통증 근육 단계 운동량 게임 강도 목표 의식,운동 운동 운동 현대인 운동 만성 허리 디스크 일상 통증 근육 단계 운동량 게임 강도 목표 의식
2300,7분 운동,좋습니다.,4,,
2301,7분 운동,원하는 어플 인비다,5,인비,인비
2302,7분 운동,정말좋은것같아요.,5,,
2303,7분 운동,보기도   좋고   싶게   할수있어서   좋아요. ❤❤❤❤❤❤❤❤❤❤❤,5,,
2304,7분 운동,Good app to exercise.,5,,
2305,7분 운동,이거 운동 됌!!!,5,운동,운동
2306,7분 운동,Good 👍,5,,
2307,7분 운동,끝내줘요,5,,
2308,7분 운동,최고!,5,최고,최고
2309,7분 운동,진짜 좋아요❤,5,,
2310,7분 운동,정말 이 앱 덕분에 7분이라도 운동을 하네욬ㅋㅋ,5,운동,운동
2311,7분 운동,다른 사람의 삶을 사는 게 다 같아요 ㅎㅎ,5,,
2312,7분 운동,좋아요,5,,
2313,7분 운동,운동목록을 본인이 만들어서 할 수 있는 기능이 있으면 진짜 완벽할거 같네요,5,운동 목록 완벽,운동 목록 완벽
2315,7분 운동,정말 좋네요,5,,
2316,7분 운동,"앱이 군더더도 없고 운동도 가볍게 몸을 풀기에 매우 좋습니다. 마음에 쏙 드는 앱입니다. 개선할 점을 꼽자면, 한글번역이 매끄러우면 더 좋을 것 같아요. 아, 그리고 스트레칭도 있으면 좋겠습니다.",5,더더 운동 마음 개선 한글 번역 스트레칭,더더 운동 마음 개선 한글 번역 스트레칭
2317,7분 운동,너무 잘 사용하고있습니다~ 자신만의 루틴을 직접 짤 수 있으면 더 좋겠습니다~,5,루틴,루틴
2318,7분 운동,간편하게할수있음,5,,
2319,7분 운동,일주일 했는데  굉장이 ㅂ,4,,
2320,7분 운동,처음으로 감량을했다,5,감량,감량
2321,7분 운동,최고의 운동앱,5,최고 운동,최고 운동
2322,7분 운동,이 어플덕에안하던 운동도합니다,5,운동,운동
2323,7분 운동,가슴이랑 등운동은 따로 없네요,4,운동,운동
2324,7분 운동,7분이라 운동하기 좋아요,4,운동,운동
2325,7분 운동,정말 효과적입니다,5,,
2326,7분 운동,운동을 원하시는 분깨 추천드립니다,5,운동 추천,운동 추천
2327,7분 운동,최고!,5,최고,최고
2328,7분 운동,방학때 잠깐담깐 운동하기에 좋으누것같아요!! 짱짱맨👏🏻👏🏻,5,운동,운동
2329,7분 운동,와제작자짱,5,,
